Device_ID,IMEI,WiFi MAC ID,Charger Cable Connected,Charging,Button Test,Battery Percentage,NOR Flash Test,EEPROM Test,EEPROM ERASE Test,GPS Test,RTC Test,Scanner 1 Test,Scanner 2 Test,WiFi Test,Validity,Board Test Result,TimeStamp,Server,Product code,Start_up packet,Health packet,comm_mode,comm_mode,wifi_fw_ver,firmware_version,hardware_version,communication_mode,BLE Scanner,Lora Scanner,Application Test Result
GSWCL00053,8.67689E+14,08:3A:8D:2A:F9:A8,connected,1,1,100,1,1,1,0,1,1,1,1,3,1,03:06:2023 18:02:28,AWS_MQTT,ggwcl100,received,received,Cellular,WiFi,1.07,1.17,1.1,AWS_MQTT,1,1,1
GSWCL00054,8.67689E+14,08:3A:8D:2A:E7:F0,connected,1,1,100,1,1,1,0,1,1,1,1,3,1,03:06:2023 17:55:04,AWS_MQTT,ggwcl100,received,received,Cellular,WiFi,1.07,1.17,1.1,AWS_MQTT,1,1,1
GSWCL00055,8.67689E+14,08:3A:8D:2A:F8:EC,connected,1,1,100,1,1,1,0,1,1,1,1,3,1,04:06:2023 18:03:47,AWS_MQTT,ggwcl100,received,received,Cellular,WiFi,1.07,1.17,1.1,AWS_MQTT,1,1,1
GSWCL00056,8.67689E+14,D4:D4:DA:20:3D:58,connected,1,1,100,1,1,1,0,1,1,1,1,3,1,03:06:2023 18:19:59,AWS_MQTT,ggwcl100,received,received,Cellular,WiFi,1.07,1.17,1.1,AWS_MQTT,1,1,1
GSWCL00057,8.67689E+14,08:3A:8D:2A:F9:84,connected,1,1,100,1,1,1,0,1,1,1,1,3,1,03:06:2023 18:09:14,AWS_MQTT,ggwcl100,received,received,Cellular,WiFi,1.07,1.17,1.1,AWS_MQTT,1,1,1
GSWCL00058,8.67689E+14,08:3A:8D:2A:F8:2C,connected,1,1,100,1,1,1,0,1,1,1,1,3,1,03:06:2023 18:16:00,AWS_MQTT,ggwcl100,received,received,Cellular,WiFi,1.07,1.17,1.1,AWS_MQTT,1,1,1
GSWCL00059,8.67689E+14,08:3A:8D:2A:F8:98,connected,1,1,100,1,1,1,0,1,1,1,1,3,1,03:06:2023 18:17:22,AWS_MQTT,ggwcl100,received,received,Cellular,WiFi,1.07,1.17,1.1,AWS_MQTT,1,1,1
GSWCL00060,8.67689E+14,08:3A:8D:2A:F9:1C,connected,1,1,100,1,1,1,0,1,1,1,1,3,1,03:06:2023 16:41:56,AWS_MQTT,ggwcl100,received,received,Cellular,WiFi,1.07,1.17,1.1,AWS_MQTT,1,1,1
GSWCL00061,8.67689E+14,08:3A:8D:2A:FA:6C,connected,1,1,100,1,1,1,0,1,1,1,1,3,1,03:06:2023 17:58:12,AWS_MQTT,ggwcl100,received,received,Cellular,WiFi,1.07,1.17,1.1,AWS_MQTT,1,1,1
GSWCL00062,8.67689E+14,08:3A:8D:2A:F8:60,connected,1,1,100,1,1,1,0,1,1,1,1,3,1,04:06:2023 18:19:31,AWS_MQTT,ggwcl100,received,received,Cellular,WiFi,1.07,1.17,1.1,AWS_MQTT,1,1,1
GSWCL00063,8.67689E+14,D4:D4:DA:20:3D:44,connected,1,1,100,1,1,1,0,1,1,1,1,3,1,04:06:2023 18:25:37,AWS_MQTT,ggwcl100,received,received,Cellular,WiFi,1.07,1.17,1.1,AWS_MQTT,1,1,1
GSWCL00064,8.67689E+14,D4:D4:DA:20:3E:3C,connected,1,1,100,1,1,1,0,1,1,1,1,3,1,03:06:2023 18:19:18,AWS_MQTT,ggwcl100,received,received,Cellular,WiFi,1.07,1.17,1.1,AWS_MQTT,1,1,1
GSWCL00065,8.67689E+14,08:3A:8D:2A:FF:64,connected,1,1,100,1,1,1,0,1,1,1,1,3,1,03:06:2023 17:58:18,AWS_MQTT,ggwcl100,received,received,Cellular,WiFi,1.07,1.17,1.1,AWS_MQTT,1,1,1
GSWCL00066,8.67689E+14,08:3A:8D:2A:F7:08,connected,1,1,100,1,1,1,0,1,1,1,1,3,1,04:06:2023 18:19:40,AWS_MQTT,ggwcl100,received,received,Cellular,WiFi,1.07,1.17,1.1,AWS_MQTT,1,1,1
