Device_ID,User Switch,Flash,Temperature Sensor,Temperature,Humidity,Radio,Sleep Current (uA),Date
H4200084,1,1,1,28.8,45,1,3.6926905,13:02:2024 12:36:31
H4200085,1,1,1,28.9,45,1,3.4473388,13:02:2024 12:55:50
H4200086,1,1,1,28.6,44,1,6.1406337,13:02:2024 12:34:31
H4200087,1,1,1,29.5,50,1,4.7283866,13:02:2024 12:41:37
H4200088,1,1,1,29.3,51,1,3.6847739,13:02:2024 12:43:01
H4200089,1,1,1,28.8,43,1,3.6461431,13:02:2024 12:44:49
H4200090,1,1,1,28.9,52,1,4.7326937,13:02:2024 12:43:57
H4200091,1,1,1,28.8,47,1,4.984673,13:02:2024 12:38:32
H4200092,1,1,1,30.5,46,1,4.9048445,13:02:2024 12:44:23
H4200093,1,1,1,29.3,51,1,5.0470437,13:02:2024 12:43:30
H4200094,1,1,1,28.8,53,1,5.659841,13:02:2024 12:37:24
H4200095,1,1,1,28.8,50,1,4.3767567,13:02:2024 12:40:43
H4200096,1,1,1,28.3,50,1,4.8584188,13:02:2024 13:21:33
H4200097,1,1,1,30.2,45,1,4.9418215,13:02:2024 13:28:41
H4200098,1,1,1,28.8,46,1,5.021468,13:02:2024 13:27:23
H4200099,1,1,1,29.2,47,1,4.9170719,13:02:2024 13:29:33
H4200100,1,1,1,30.2,42,1,4.887815,13:02:2024 13:29:07
H4200101,1,1,1,28.6,49,1,4.3967828,13:02:2024 16:32:17
H4200102,1,1,1,29.2,51,1,5.0669045,13:02:2024 17:01:41
H4200103,1,1,1,29.1,52,1,3.4778588,13:02:2024 17:01:14
H4200104,1,1,1,29,48,1,4.316303,13:02:2024 16:51:06
H4200105,1,1,1,29.6,45,1,4.8778987,13:02:2024 16:54:30
H4200106,1,1,1,28.8,52,1,5.6820787,13:02:2024 18:11:44
H4200107,1,1,1,29.8,51,1,5.6547001,13:02:2024 16:54:02
H4200108,1,1,1,28.8,50,1,5.654128,13:02:2024 16:47:31
H4200109,1,1,1,28.9,53,1,4.3177136,13:02:2024 16:54:58
H4200110,1,1,1,29.4,52,1,3.4692873,13:02:2024 16:48:00
H4200111,1,1,1,28.4,48,1,4.9301644,13:02:2024 16:50:35
H4200112,1,1,1,28.6,51,1,7.06432,13:02:2024 17:00:40
H4200113,1,1,1,28.4,44,1,6.1472761,13:02:2024 16:58:50
H4200114,1,1,1,28.6,47,1,5.6874214,13:02:2024 16:30:48
H4200115,1,1,1,30.5,41,1,5.6887626,13:02:2024 16:59:19
H4200116,1,1,1,30.5,45,1,3.464637,13:02:2024 16:53:29
H4200117,1,1,1,29.5,53,1,4.7234357,13:02:2024 16:51:50
H4200118,1,1,1,29.8,51,1,7.0676912,13:02:2024 16:58:25
H4200119,1,1,1,30.3,42,1,4.8378199,13:02:2024 16:21:28
H4200120,1,1,1,28.8,53,1,3.4196191,13:02:2024 16:52:30
H4200121,1,1,1,30,50,1,3.6406011,13:02:2024 16:40:29
H4200122,1,1,1,29.2,49,1,4.8540261,13:02:2024 16:35:55
H4200123,1,1,1,30.2,44,1,6.1968271,13:02:2024 16:45:46
H4200124,1,1,1,29.6,50,1,5.6271457,13:02:2024 16:49:39
H4200125,1,1,1,29.2,48,1,4.7829123,13:02:2024 16:43:19
H4200126,1,1,1,29,51,1,6.1799547,13:02:2024 16:41:00
H4200127,1,1,1,29.4,49,1,4.867551,13:02:2024 16:56:09
H4200128,1,1,1,28.6,52,1,4.8684885,13:02:2024 16:33:26
H4200129,1,1,1,28.9,52,1,6.1245465,13:02:2024 16:25:43
H4200130,1,1,1,28.8,47,1,4.7003895,13:02:2024 16:50:05
H4200131,1,1,1,29.1,51,1,3.4522533,13:02:2024 16:46:17
H4200132,1,1,1,29.3,50,1,5.0652161,13:02:2024 16:34:52
H4200133,1,1,1,30.4,44,1,3.4525885,13:02:2024 16:36:54
H4200134,1,1,1,28.9,54,1,5.6020329,13:02:2024 16:19:37
H4200135,1,1,1,29.5,52,1,6.1832076,13:02:2024 16:43:46
H4200136,1,1,1,29.2,52,1,7.0576102,13:02:2024 16:57:56
H4200137,1,1,1,29.1,47,1,5.0362902,13:02:2024 16:35:27
H4200138,1,1,1,29.1,48,1,4.7225734,13:02:2024 16:42:54
H4200139,1,1,1,30.9,42,1,7.0400502,13:02:2024 16:39:34
H4200140,1,1,1,28.6,44,1,3.462781,13:02:2024 16:24:01
H4200141,1,1,1,30.1,44,1,5.6992181,13:02:2024 16:42:28
H4200142,1,1,1,29,51,1,4.7614779,13:02:2024 16:40:00
H4200143,1,1,1,28.9,53,1,5.087845,13:02:2024 16:25:11
H4200144,1,1,1,29.3,53,1,4.3486421,13:02:2024 16:34:23
H4200145,1,1,1,28.7,48,1,4.3076952,13:02:2024 16:22:31
H4200146,1,1,1,28.5,51,1,3.4927686,13:02:2024 16:12:13
H4200147,1,1,1,29,52,1,4.842289,13:02:2024 16:28:14
H4200148,1,1,1,28.3,47,1,4.3435025,13:02:2024 16:37:22
H4200149,1,1,1,29.1,50,1,4.7114165,13:02:2024 16:29:41
H4200150,1,1,1,28.8,53,1,5.0942593,13:02:2024 16:28:45
H4200151,1,1,1,29,50,1,5.0635874,13:02:2024 16:20:04
H4200152,1,1,1,29.3,52,1,4.8471047,13:02:2024 16:16:32
H4200153,1,1,1,28.9,46,1,6.1259984,13:02:2024 16:11:47
H4200154,1,1,1,29.8,52,1,4.9276839,13:02:2024 16:27:09
H4200155,1,1,1,30.7,42,1,4.8907325,13:02:2024 16:22:58
H4200156,1,1,1,28.6,53,1,4.9479492,13:02:2024 18:12:13
H4200157,1,1,1,29.1,51,1,6.1691473,13:02:2024 16:31:13
H4200158,1,1,1,29,46,1,4.3429856,13:02:2024 16:12:40
H4200159,1,1,1,28.1,49,1,5.6093892,13:02:2024 16:39:08
H4200160,1,1,1,30.5,45,1,3.4501966,13:02:2024 16:41:30
H4200161,1,1,1,29.1,50,1,4.7543168,13:02:2024 16:03:49
H4200162,1,1,1,29.3,51,1,6.1176477,13:02:2024 16:27:48
H4200163,1,1,1,28.6,53,1,6.1197193,13:02:2024 16:38:42
H4200164,1,1,1,30.9,49,1,5.6570904,13:02:2024 16:04:47
H4200165,1,1,1,29.7,52,1,4.9298947,13:02:2024 16:07:49
