Device_ID,Temperature Sensor,Temperature,Humidity,Sleep Current,TimeStamp,
S3600085,1,29.2,52,19.3060443,04:06:2023 18:21:37,
S3600086,1,29.1,47,23.1068196,03:06:2023 18:08:57,
S3600087,1,29.1,48,21.5620089,04:06:2023 18:01:15,
S3600088,1,28.9,42,19.4123134,04:06:2023 18:24:43,
S3600089,1,28.6,44,24.280518,03:06:2023 16:52:48,
S3600090,1,28.1,44,16.3562355,03:06:2023 16:32:39,
S3600091,1,29,51,20.9185759,03:06:2023 18:16:36,
S3600092,1,28.9,53,17.7890544,03:06:2023 18:09:26,
S3600093,1,29.3,53,20.5098997,04:06:2023 18:22:28,
S3600094,1,28.7,48,19.6445384,03:06:2023 18:19:19,
S3600095,1,28.5,51,18.8931678,04:06:2023 17:56:27,
S3600096,1,29,52,21.6653892,03:06:2023 18:13:58,
S3600097,1,28.3,47,20.3035961,03:06:2023 18:14:58,
S3600098,1,29.1,50,19.8124435,04:06:2023 18:19:07,
S3600099,1,28.8,53,17.8618365,04:06:2023 18:14:48,
S3600100,1,29,50,23.1255026,03:06:2023 18:16:53,
S3600101,1,29.3,52,26.0314713,03:06:2023 18:22:53,
S3600102,1,28.9,46,24.5506225,03:06:2023 18:03:41,
S3600103,1,29.8,52,20.0366368,03:06:2023 17:41:56,
S3600104,1,28.7,42,20.9662947,04:06:2023 17:59:38,
S3600105,1,28.6,53,25.7092064,04:06:2023 18:12:05,
S3600106,1,29.1,51,18.6147965,03:06:2023 18:11:37,
S3600107,1,29,46,18.4056116,04:06:2023 18:13:44,
S3600108,1,28.1,49,22.7820417,03:06:2023 16:24:51,
S3600109,1,28.5,45,17.8934999,03:06:2023 18:06:05,
S3600110,1,29.1,50,20.2361789,03:06:2023 18:04:17,
S3600111,1,29.3,51,19.0612866,04:06:2023 18:20:06,
S3600112,1,28.6,53,17.706283,03:06:2023 18:18:25,
S3600113,1,28.9,49,19.2604458,04:06:2023 18:06:47,
S3600114,1,29.7,52,15.6676044,03:06:2023 18:05:31,
S3600115,1,28.8,52,20.1111678,03:06:2023 17:59:23,
S3600116,1,29.3,49,20.7153681,04:06:2023 18:21:56,
S3600117,1,28.3,44,20.6115628,04:06:2023 18:08:39,
S3600118,1,29.3,44,19.8249092,03:06:2023 18:02:22,
S3600119,1,29,47,21.0431297,04:06:2023 18:13:29,
S3600120,1,29.4,52,22.1013457,03:06:2023 18:14:44,
S3600121,1,28.9,52,17.6002972,03:06:2023 18:11:05,
S3600122,1,29.3,52,21.7069741,03:06:2023 18:11:09,
S3600123,1,29,51,16.9896499,03:06:2023 17:58:47,
S3600124,1,28,40,18.2787148,04:06:2023 18:16:16,
S3600125,1,29.2,52,18.057883,03:06:2023 16:45:53,
S3600126,1,29.4,45,22.2597746,03:06:2023 16:56:16,
S3600127,1,29.2,46,18.1965609,03:06:2023 17:40:41,
S3600128,1,28.9,50,20.2330831,03:06:2023 18:17:54,
S3600129,1,29.4,49,21.1399637,03:06:2023 17:38:10,
S3600130,1,28.2,48,21.1734891,03:06:2023 17:57:28,
S3600131,1,28.1,43,22.8506683,03:06:2023 18:05:05,
S3600132,1,28.7,52,20.1706887,04:06:2023 18:23:07,
S3600133,1,28.9,52,22.764461,03:06:2023 18:21:04,
S3600134,1,29.1,53,27.76002,04:06:2023 18:05:03,
S3600135,1,29,49,19.435322,03:06:2023 16:43:13,
S3600136,1,28.4,45,24.6349778,03:06:2023 17:44:14,
S3600137,1,29.6,50,21.8796192,04:06:2023 18:28:07,
S3600138,1,28.2,43,20.8738561,04:06:2023 18:00:32,
S3600139,1,28,45,20.8078074,03:06:2023 18:25:26,
S3600140,1,29.1,52,17.9238401,04:06:2023 18:24:12,
S3600141,1,29.4,49,15.3556513,04:06:2023 18:17:09,
S3600142,1,29.9,44,20.8554234,03:06:2023 17:54:16,
S3600143,1,28.1,43,20.8457566,04:06:2023 17:57:57,
S3600144,1,29.1,53,18.7568852,03:06:2023 16:40:43,
S3600145,1,28.1,52,19.6900562,04:06:2023 18:04:21,
S3600146,1,29.5,52,21.5186609,04:06:2023 18:26:25,
S3600147,1,29,51,23.992308,03:06:2023 18:21:38,
S3600148,1,28.8,52,23.7530022,03:06:2023 18:05:36,
S3600149,1,29.5,50,28.0174302,04:06:2023 18:23:06,
S3600150,1,28.2,41,19.3272893,03:06:2023 18:07:05,
S3600151,1,28.9,51,19.3978864,03:06:2023 18:04:48,
S3600152,1,28.5,51,22.5862442,03:06:2023 18:06:48,
S3600153,1,29.4,49,17.0759841,03:06:2023 17:59:56,
S3600154,1,29.9,45,22.9670096,03:06:2023 17:59:21,
S3600155,1,28.6,51,17.658989,03:06:2023 18:15:55,
S3600156,1,28.6,52,21.3096886,03:06:2023 18:09:51,
S3600157,1,29.1,49,18.0171358,03:06:2023 18:14:06,
S3600158,1,29.7,48,19.8806086,03:06:2023 18:14:09,
S3600159,1,28.7,52,21.4057432,03:06:2023 18:00:11,
S3600160,1,28.4,53,20.4840095,04:06:2023 18:21:20,
S3600161,1,29.7,51,19.5137125,04:06:2023 18:11:12,
S3600162,1,29.2,53,21.7929648,04:06:2023 17:56:28,
S3600163,1,29,45,20.8409482,03:06:2023 18:11:54,
S3600164,1,28.8,50,18.201858,04:06:2023 18:02:20,
S3600165,1,29.9,46,17.5379064,04:06:2023 18:15:25,
S3600166,1,28.1,44,21.5903501,03:06:2023 18:08:19,
S3600167,1,28,45,21.6863875,03:06:2023 18:15:03,
S3600168,1,29.6,51,18.4220327,04:06:2023 18:07:11,
S3600169,1,28,44,19.7245048,03:06:2023 18:04:35,
S3600170,1,29.2,53,20.4264382,04:06:2023 18:17:57,
S3600171,1,28.1,43,17.4131556,03:06:2023 16:27:48,
S3600172,1,29.3,51,26.1216151,04:06:2023 18:09:46,
S3600173,1,28.2,44,23.4778594,03:06:2023 18:13:36,
S3600174,1,29.2,52,25.9414504,03:06:2023 18:22:12,
S3600175,1,28.7,43,22.9032897,04:06:2023 18:24:14,
S3600176,1,29.5,51,20.6750073,03:06:2023 18:12:21,
S3600177,1,28.6,47,22.4784521,03:06:2023 18:16:26,
S3600178,1,29.7,51,26.3971711,04:06:2023 18:10:36,
S3600179,1,28.7,46,21.0285342,04:06:2023 18:23:42,
S3600180,1,28.5,44,20.1603488,03:06:2023 16:49:27,
S3600181,1,28.7,52,24.5357368,03:06:2023 18:20:29,
S3600182,1,28.6,50,17.276592,03:06:2023 18:15:32,
S3600183,1,29,48,21.1042625,04:06:2023 18:11:50,
S3600184,1,28,49,21.2353211,04:06:2023 18:27:35,
S3600185,1,29.1,50,17.4033292,03:06:2023 18:15:27,
S3600186,1,29.2,51,20.3495511,03:06:2023 17:54:30,
S3600187,1,28.3,45,15.4788967,03:06:2023 18:24:32,
S3600188,1,29.3,53,17.7893975,03:06:2023 18:10:15,
S3600189,1,29.1,51,19.3871768,04:06:2023 17:58:15,
S3600190,1,29.5,52,23.6362074,04:06:2023 18:09:47,
S3600191,1,28.7,52,17.1537219,03:06:2023 18:21:54,
S3600192,1,29.6,49,19.8919116,03:06:2023 18:22:27,
S3600193,1,28.9,46,17.5035549,04:06:2023 18:09:04,
S3600194,1,29.1,51,19.675932,03:06:2023 18:23:57,
S3600195,1,29,51,29.1250547,03:06:2023 18:23:06,
S3600196,1,29.5,49,24.4187453,03:06:2023 18:26:04,
